input	pcm	phbuf_hex_len	genphon_hex_len	phidx_count	pinyins
㐀	0	0	0	0	 
㐁	0	0	0	0	 
㐂	0	0	0	0	 
㐃	0	0	0	0	 
㐄	0	0	0	0	 
㐅	0	0	0	0	 
㐆	0	0	0	0	 
㐇	0	0	0	0	 
㐈	0	0	0	0	 
㐉	0	0	0	0	 
㐊	0	0	0	0	 
㐋	0	0	0	0	 
㐌	0	0	0	0	 
㐍	0	0	0	0	 
㐎	0	0	0	0	 
㐏	0	0	0	0	 
㐐	0	0	0	0	 
㐑	0	0	0	0	 
㐒	0	0	0	0	 
㐓	0	0	0	0	 
㐔	0	0	0	0	 
㐕	0	0	0	0	 
㐖	0	0	0	0	 
㐗	0	0	0	0	 
㐘	0	0	0	0	 
㐙	0	0	0	0	 
㐚	0	0	0	0	 
㐛	0	0	0	0	 
㐜	0	0	0	0	 
㐝	0	0	0	0	 
㐞	0	0	0	0	 
㐟	0	0	0	0	 
㐠	0	0	0	0	 
㐡	0	0	0	0	 
㐢	0	0	0	0	 
㐣	0	0	0	0	 
㐤	0	0	0	0	 
㐥	0	0	0	0	 
㐦	0	0	0	0	 
㐧	0	0	0	0	 
㐨	0	0	0	0	 
㐩	0	0	0	0	 
㐪	0	0	0	0	 
㐫	0	0	0	0	 
㐬	0	0	0	0	 
㐭	0	0	0	0	 
㐮	0	0	0	0	 
㐯	0	0	0	0	 
㐰	0	0	0	0	 
㐱	0	0	0	0	 
㐲	0	0	0	0	 
㐳	0	0	0	0	 
㐴	0	0	0	0	 
㐵	0	0	0	0	 
㐶	0	0	0	0	 
㐷	0	0	0	0	 
㐸	0	0	0	0	 
㐹	0	0	0	0	 
㐺	0	0	0	0	 
㐻	0	0	0	0	 
㐼	0	0	0	0	 
㐽	0	0	0	0	 
㐾	0	0	0	0	 
㐿	0	0	0	0	 
㑀	0	0	0	0	 
㑁	0	0	0	0	 
㑂	0	0	0	0	 
㑃	0	0	0	0	 
㑄	0	0	0	0	 
㑅	0	0	0	0	 
㑆	0	0	0	0	 
㑇	0	0	0	0	 
㑈	0	0	0	0	 
㑉	0	0	0	0	 
㑊	0	0	0	0	 
㑋	0	0	0	0	 
㑌	0	0	0	0	 
㑍	0	0	0	0	 
㑎	0	0	0	0	 
㑏	0	0	0	0	 
㑐	0	0	0	0	 
㑑	0	0	0	0	 
㑒	0	0	0	0	 
㑓	0	0	0	0	 
㑔	0	0	0	0	 
㑕	0	0	0	0	 
㑖	0	0	0	0	 
㑗	0	0	0	0	 
㑘	0	0	0	0	 
㑙	0	0	0	0	 
㑚	0	0	0	0	 
㑛	0	0	0	0	 
㑜	0	0	0	0	 
㑝	0	0	0	0	 
㑞	0	0	0	0	 
㑟	0	0	0	0	 
㑠	0	0	0	0	 
㑡	0	0	0	0	 
㑢	0	0	0	0	 
㑣	0	0	0	0	 
㑤	0	0	0	0	 
㑥	0	0	0	0	 
㑦	0	0	0	0	 
㑧	0	0	0	0	 
㑨	0	0	0	0	 
㑩	0	0	0	0	 
㑪	0	0	0	0	 
㑫	0	0	0	0	 
㑬	0	0	0	0	 
㑭	0	0	0	0	 
㑮	0	0	0	0	 
㑯	0	0	0	0	 
㑰	0	0	0	0	 
㑱	0	0	0	0	 
㑲	0	0	0	0	 
㑳	0	0	0	0	 
㑴	0	0	0	0	 
㑵	0	0	0	0	 
㑶	0	0	0	0	 
㑷	0	0	0	0	 
㑸	0	0	0	0	 
㑹	0	0	0	0	 
㑺	0	0	0	0	 
㑻	0	0	0	0	 
㑼	0	0	0	0	 
㑽	0	0	0	0	 
㑾	0	0	0	0	 
㑿	0	0	0	0	 
㒀	0	0	0	0	 
㒁	0	0	0	0	 
㒂	0	0	0	0	 
㒃	0	0	0	0	 
㒄	0	0	0	0	 
㒅	0	0	0	0	 
㒆	0	0	0	0	 
㒇	0	0	0	0	 
㒈	0	0	0	0	 
㒉	0	0	0	0	 
㒊	0	0	0	0	 
㒋	0	0	0	0	 
㒌	0	0	0	0	 
㒍	0	0	0	0	 
㒎	0	0	0	0	 
㒏	0	0	0	0	 
㒐	0	0	0	0	 
㒑	0	0	0	0	 
㒒	0	0	0	0	 
㒓	0	0	0	0	 
㒔	0	0	0	0	 
㒕	0	0	0	0	 
㒖	0	0	0	0	 
㒗	0	0	0	0	 
㒘	0	0	0	0	 
㒙	0	0	0	0	 
㒚	0	0	0	0	 
㒛	0	0	0	0	 
㒜	0	0	0	0	 
㒝	0	0	0	0	 
㒞	0	0	0	0	 
㒟	0	0	0	0	 
㒠	0	0	0	0	 
㒡	0	0	0	0	 
㒢	0	0	0	0	 
㒣	0	0	0	0	 
㒤	0	0	0	0	 
㒥	0	0	0	0	 
㒦	0	0	0	0	 
㒧	0	0	0	0	 
㒨	0	0	0	0	 
㒩	0	0	0	0	 
㒪	0	0	0	0	 
㒫	0	0	0	0	 
㒬	0	0	0	0	 
㒭	0	0	0	0	 
㒮	0	0	0	0	 
㒯	0	0	0	0	 
㒰	0	0	0	0	 
㒱	0	0	0	0	 
㒲	0	0	0	0	 
㒳	0	0	0	0	 
㒴	0	0	0	0	 
㒵	0	0	0	0	 
㒶	0	0	0	0	 
㒷	0	0	0	0	 
㒸	0	0	0	0	 
㒹	0	0	0	0	 
㒺	0	0	0	0	 
㒻	0	0	0	0	 
㒼	0	0	0	0	 
㒽	0	0	0	0	 
㒾	0	0	0	0	 
㒿	0	0	0	0	 
㓀	0	0	0	0	 
㓁	0	0	0	0	 
㓂	0	0	0	0	 
㓃	0	0	0	0	 
㓄	0	0	0	0	 
㓅	0	0	0	0	 
㓆	0	0	0	0	 
㓇	0	0	0	0	 
㓈	0	0	0	0	 
㓉	0	0	0	0	 
㓊	0	0	0	0	 
㓋	0	0	0	0	 
㓌	0	0	0	0	 
㓍	0	0	0	0	 
㓎	0	0	0	0	 
㓏	0	0	0	0	 
㓐	0	0	0	0	 
㓑	0	0	0	0	 
㓒	0	0	0	0	 
㓓	0	0	0	0	 
㓔	0	0	0	0	 
㓕	0	0	0	0	 
㓖	0	0	0	0	 
㓗	0	0	0	0	 
㓘	0	0	0	0	 
㓙	0	0	0	0	 
㓚	0	0	0	0	 
㓛	0	0	0	0	 
㓜	0	0	0	0	 
㓝	0	0	0	0	 
㓞	0	0	0	0	 
㓟	0	0	0	0	 
㓠	0	0	0	0	 
㓡	0	0	0	0	 
㓢	0	0	0	0	 
㓣	0	0	0	0	 
㓤	0	0	0	0	 
㓥	0	0	0	0	 
㓦	0	0	0	0	 
㓧	0	0	0	0	 
㓨	0	0	0	0	 
㓩	0	0	0	0	 
㓪	0	0	0	0	 
㓫	0	0	0	0	 
㓬	0	0	0	0	 
㓭	0	0	0	0	 
㓮	0	0	0	0	 
㓯	0	0	0	0	 
㓰	0	0	0	0	 
㓱	0	0	0	0	 
㓲	0	0	0	0	 
㓳	0	0	0	0	 
㓴	0	0	0	0	 
㓵	0	0	0	0	 
㓶	0	0	0	0	 
㓷	0	0	0	0	 
㓸	0	0	0	0	 
㓹	0	0	0	0	 
㓺	0	0	0	0	 
㓻	0	0	0	0	 
㓼	0	0	0	0	 
㓽	0	0	0	0	 
㓾	0	0	0	0	 
㓿	0	0	0	0	 
㔀	0	0	0	0	 
㔁	0	0	0	0	 
㔂	0	0	0	0	 
㔃	0	0	0	0	 
㔄	0	0	0	0	 
㔅	0	0	0	0	 
㔆	0	0	0	0	 
㔇	0	0	0	0	 
㔈	0	0	0	0	 
㔉	0	0	0	0	 
㔊	0	0	0	0	 
㔋	0	0	0	0	 
㔌	0	0	0	0	 
㔍	0	0	0	0	 
㔎	0	0	0	0	 
㔏	0	0	0	0	 
㔐	0	0	0	0	 
㔑	0	0	0	0	 
㔒	0	0	0	0	 
㔓	0	0	0	0	 
㔔	0	0	0	0	 
㔕	0	0	0	0	 
㔖	0	0	0	0	 
㔗	0	0	0	0	 
㔘	0	0	0	0	 
㔙	0	0	0	0	 
㔚	0	0	0	0	 
㔛	0	0	0	0	 
㔜	0	0	0	0	 
㔝	0	0	0	0	 
㔞	0	0	0	0	 
㔟	0	0	0	0	 
㔠	0	0	0	0	 
㔡	0	0	0	0	 
㔢	0	0	0	0	 
㔣	0	0	0	0	 
㔤	0	0	0	0	 
㔥	0	0	0	0	 
㔦	0	0	0	0	 
㔧	0	0	0	0	 
㔨	0	0	0	0	 
㔩	0	0	0	0	 
㔪	0	0	0	0	 
㔫	0	0	0	0	 
㔬	0	0	0	0	 
㔭	0	0	0	0	 
㔮	0	0	0	0	 
㔯	0	0	0	0	 
㔰	0	0	0	0	 
㔱	0	0	0	0	 
㔲	0	0	0	0	 
㔳	0	0	0	0	 
㔴	0	0	0	0	 
㔵	0	0	0	0	 
㔶	0	0	0	0	 
㔷	0	0	0	0	 
㔸	0	0	0	0	 
㔹	0	0	0	0	 
㔺	0	0	0	0	 
㔻	0	0	0	0	 
㔼	0	0	0	0	 
㔽	0	0	0	0	 
㔾	0	0	0	0	 
㔿	0	0	0	0	 
㕀	0	0	0	0	 
㕁	0	0	0	0	 
㕂	0	0	0	0	 
㕃	0	0	0	0	 
㕄	0	0	0	0	 
㕅	0	0	0	0	 
㕆	0	0	0	0	 
㕇	0	0	0	0	 
㕈	0	0	0	0	 
㕉	0	0	0	0	 
㕊	0	0	0	0	 
㕋	0	0	0	0	 
㕌	0	0	0	0	 
㕍	0	0	0	0	 
㕎	0	0	0	0	 
㕏	0	0	0	0	 
㕐	0	0	0	0	 
㕑	0	0	0	0	 
㕒	0	0	0	0	 
㕓	0	0	0	0	 
㕔	0	0	0	0	 
㕕	0	0	0	0	 
㕖	0	0	0	0	 
㕗	0	0	0	0	 
㕘	0	0	0	0	 
㕙	0	0	0	0	 
㕚	0	0	0	0	 
㕛	0	0	0	0	 
㕜	0	0	0	0	 
㕝	0	0	0	0	 
㕞	0	0	0	0	 
㕟	0	0	0	0	 
㕠	0	0	0	0	 
㕡	0	0	0	0	 
㕢	0	0	0	0	 
㕣	0	0	0	0	 
㕤	0	0	0	0	 
㕥	0	0	0	0	 
㕦	0	0	0	0	 
㕧	0	0	0	0	 
㕨	0	0	0	0	 
㕩	0	0	0	0	 
㕪	0	0	0	0	 
㕫	0	0	0	0	 
㕬	0	0	0	0	 
㕭	0	0	0	0	 
㕮	0	0	0	0	 
㕯	0	0	0	0	 
㕰	0	0	0	0	 
㕱	0	0	0	0	 
㕲	0	0	0	0	 
㕳	0	0	0	0	 
㕴	0	0	0	0	 
㕵	0	0	0	0	 
㕶	0	0	0	0	 
㕷	0	0	0	0	 
㕸	0	0	0	0	 
㕹	0	0	0	0	 
㕺	0	0	0	0	 
㕻	0	0	0	0	 
㕼	0	0	0	0	 
㕽	0	0	0	0	 
㕾	0	0	0	0	 
㕿	0	0	0	0	 
㖀	0	0	0	0	 
㖁	0	0	0	0	 
㖂	0	0	0	0	 
㖃	0	0	0	0	 
㖄	0	0	0	0	 
㖅	0	0	0	0	 
㖆	0	0	0	0	 
㖇	0	0	0	0	 
㖈	0	0	0	0	 
㖉	0	0	0	0	 
㖊	0	0	0	0	 
㖋	0	0	0	0	 
㖌	0	0	0	0	 
㖍	0	0	0	0	 
㖎	0	0	0	0	 
㖏	0	0	0	0	 
㖐	0	0	0	0	 
